RBLBANK.NS,FEDERALBNK.NS,UNIONBANK.NS,INDIANB.NS,TVSMOTOR.NS,TATAMOTORS.NS,ESCORTS.NS,M&M.NS,TORNTPOWER.NS,PTC.NS,TRIL.NS,POWERGRID.NS,VINYLINDIA.NS,DEEPAKNTR.NS,PIDILITIND.NS,GEECEE.NS,WELENT.NS,VASCONEQ.NS,NITCO.NS,SOBHA.NS,UMANGDAIRY.NS,PARAGMILK.NS,JUBLFOOD.NS,TASTYBITE.NS,VIPIND.NS,SUPREMEIND.NS,TEXMOPIPES.NS,TAINWALCHM.NS,MIRCELECTR.NS,PGEL.NS,SALZERELEC.NS,BEL.NS
329.2012634277,82.779335022,55.5,151.2428741455,368.4491577148,124.1999969482,512.2742919922,511.3265686035,262.621887207,51.5259971619,8,136.1060791016,59.8889274597,267.0731506348,1284.1389160156,94.1500015259,89.8079452515,11.8500003815,28.75,484.2963562012,42.1847648621,153.8866729736,1236.7786865234,8320.1533203125,431.4619140625,1082.5841064453,16.9500007629,50.2999992371,11.25,48.2000007629,119.9873199463,99.1616897583
379.607421875,94.0381240845,59.5,152.7705841064,418.7886047363,133.25,565.1943359375,560.1649780273,261.5906982422,49.2572822571,8.0500001907,132.7567138672,62.640838623,283.6539001465,1397.4205322266,95.5,94.8715896606,12.5500001907,28.5,483.4816894531,42.3320884705,153.5384063721,1373.2701416016,9178.6669921875,456.0360412598,1120.4995117188,17.3999996185,51.0499992371,11.3500003815,51.4000015259,122.5097198486,102.7744750977
394.8729858398,95.1292800903,61.0499992371,149.8137359619,425.4939575195,127.9000015259,624.1880493164,556.3248291016,266.1372680664,49.1263961792,8.25,127.4112472534,62.8740539551,297.6113891602,1469.4366455078,98.5,96.4479980469,13.3000001907,27.6000003815,516.4997558594,43.658039093,168.1160888672,1438.3819580078,9288.4365234375,487.4114685059,1145.2271728516,17.2999992371,51.6500015259,11.3000001907,53.25,123.9934921265,106.9101715088
397.4998474121,93.542137146,59.9000015259,145.8712768555,412.6748962402,130.8999938965,602.4822998047,550.1708374023,268.7621154785,49.2136573792,8.1000003815,128.866027832,61.9878425598,297.561920166,1445.0841064453,98.0999984741,97.2123260498,12.6499996185,27.0499992371,496.7080688477,42.23387146,164.6333618164,1446.3903808594,9597.001953125,494.560333252,1152.4514160156,17.25,54.5,11.0500001907,51.1500015259,122.2624282837,106.3397369385
380.3508605957,91.3598175049,56.3499984741,140.1546936035,396.2073059082,123.0500030518,585.0579833984,526.4901123047,270.1682434082,50.6970405579,8.5,134.482131958,61.6613464355,294.7901611328,1427.1296386719,93.9499969482,91.8620605469,12.1499996185,26.5499992371,482.1878356934,41.2025794983,159.9565582275,1442.1624755859,9384.7099609375,469.3904724121,1157.3487548828,16.8999996185,50.75,10.3999996185,48.7999992371,121.3227157593,103.5826034546
380.8960571289,92.8477630615,56.5499992371,136.3600769043,412.0339355469,124.5,607.2117919922,558.244934082,271.9493713379,50.4789009094,8.4499998093,134.8204345703,61.3814926147,309.7870788574,1442.4057617188,93.8499984741,91.5276794434,12.3500003815,26.1499996185,485.302734375,40.6132698059,160.1058197021,1393.6641845703,9885.171875,479.2200927734,1173.1063232422,17.3999996185,53.5,9.6499996185,50.5,126.5158996582,105.5316085815
363.0531616211,92.8477630615,55.9000015259,131.5798339844,406.758392334,119.9000015259,587.5472412109,546.5768432617,273.6367492676,49.8244590759,8,134.0423278809,60.1221427917,303.4022521973,1464.9232177734,93.0999984741,92.5786209106,12.1000003815,26.75,481.4210510254,39.287322998,161.5984039307,1362.4263916016,9630.7919921875,470.5819396973,1167.6760253906,17.1499996185,54,8.9499998093,51.4000015259,130.6704559326,102.8220214844
325.9796142578,89.6734771729,52.7999992371,123.4977722168,416.1261901855,117.4499969482,577.8393554688,538.7489624023,269.5120544434,49.1263961792,7.9499998093,134.6851348877,58.5829429626,295.8295898438,1432.1390380859,90.25,90.6200332642,12,25.5499992371,468.769744873,37.2738494873,154.2846984863,1352.3785400391,9693.974609375,475.943572998,1195.3610839844,16.6000003815,51.5,8.6000003815,49.4000015259,127.5545272827,102.964630127
296.737121582,87.0447769165,50.9000015259,116.4998855591,413.7595825195,115.3000030518,606.86328125,548.1522827148,264.9186096191,47.6430053711,7.5500001907,132.9596862793,57.5568084717,287.6134643555,1427.6752929688,89.9000015259,88.9958572388,12.75,25.7000007629,455.3995666504,36.5863189697,155.1802520752,1327.7564697266,9699.8720703125,451.0219421387,1183.6276855469,15.8500003815,49.0999984741,7,44.6500015259,118.8497695923,101.8712768555
309.2767028809,88.0863418579,51.5,119.2596206665,399.6585693359,122.4000015259,616.571105957,554.0601806641,266.5591430664,46.7267913818,7.5,134.718963623,58.023235321,292.5134277344,1381.9460449219,90.8000030518,86.4640274048,12.4499998093,25.6000003815,439.9688110352,37.1756286621,154.1354217529,1315.8680419922,9581.5546875,461.4969482422,1177.0338134766,15.6999998093,47.9500007629,7,44.4000015259,116.8714141846,100.2074966431
300.1569824219,85.0608520508,50.4500007629,117.8797531128,390.8332214355,119.6500015259,595.711730957,555.5863647461,262.2937927246,47.0758285522,7.3000001907,132.9935302734,58.3497314453,294.9386901855,1356.8494873047,83.1500015259,84.7920761108,12.6000003815,25.0499992371,428.3717956543,36.9791946411,153.1901245117,1281.7453613281,9582.5048828125,460.5537109375,1163.4091796875,15.4499998093,48,6.9000000954,45.1500015259,117.0692443848,99.7796630859
300.0083007813,84.2176818848,49.5999984741,117.0912628174,388.2200927734,117.5,598.1013793945,544.4598999023,259.5284118652,46.6395339966,7.1999998093,132.9596862793,57.7900238037,285.2872314453,1355.0142822266,84.5,92.1964492798,12.3999996185,22.8999996185,413.4202270508,34.8675003052,152.6428375244,1312.3862304688,9794.0966796875,450.5254821777,1153.7121582031,15.8000001907,49.75,6.6999998093,44.25,120.1851577759,99.2092132568
306.897644043,85.2096481323,51.1500015259,115.2185897827,391.4248657227,120.9000015259,605.3698120117,567.6975097656,265.1529846191,48.2538146973,6.9000000954,133.7716674805,56.9504547119,291.2760620117,1325.8011474609,87.4000015259,91.1932754517,12.3500003815,22.9500007629,437.668548584,33.2960090637,151.1004943848,1300.7963867188,10046.2275390625,450.2772521973,1173.78515625,15.8000001907,47.2000007629,6.5999999046,44.3499984741,118.5035552979,100.2074966431
285.9818115234,83.622505188,49.0999984741,112.015335083,379.0988464355,116.8000030518,601.0386352539,557.3587646484,263.9342956543,47.9484100342,7.5500001907,134.718963623,56.6706047058,300.3336181641,1347.9217529297,82,90.811126709,12.6999998093,23.7999992371,411.9825744629,32.6575889587,158.4639587402,1319.0515136719,9990.7919921875,446.5539245605,1165.3972167969,14.8500003815,49,6.3000001907,43.6500015259,117.6627502441,100.4451751709
264.1242980957,83.4737091064,49,110.290512085,388.5158996582,121.3000030518,595.4130249023,551.5000610352,265.1061096191,47.7738952637,8,136.0045623779,56.9038162231,301.7194213867,1354.9151611328,81.9499969482,90.7633514404,12.6000003815,24.9500007629,418.7395019531,33.8362083435,154.0856933594,1317.0122070313,9919.26171875,443.1284179688,1163.8941650391,15.1499996185,48,6.9000000954,44.25,114.991973877,99.8747329712
256.6401672363,82.5809402466,49.5,109.4034500122,391.9671936035,127.8499984741,609.9996948242,559.9188232422,264.0749511719,47.6866340637,7.9499998093,134.245300293,56.9504547119,301.174987793,1351.2944335938,82,88.8047637939,12.6000003815,24.5499992371,424.0108947754,33.934425354,153.6378936768,1315.2712402344,9937.1572265625,447.4971618652,1168.9365234375,15.1499996185,49,7.5500001907,43.6500015259,117.9100418091,103.5826034546
261.7452087402,84.2672729492,50.0999984741,107.432220459,404.3918457031,126.9499969482,627.4240112305,574.4423828125,262.809387207,47.730266571,7.8499999046,136.1737365723,56.5306739807,296.6710205078,1368.1578369141,82.3499984741,88.9958572388,12.3999996185,23.9500007629,427.892578125,36.4389915466,152.8418579102,1310.7944335938,10103.9111328125,460.1069030762,1178.5852050781,15.1499996185,45.2000007629,8.1499996185,39.75,114.6952133179,105.0562362671
256.1941223145,81.5889816284,50.25,107.3829345703,405.9695739746,125.8499984741,626.8762817383,575.279296875,265.1998291016,47.0321998596,7.3499999046,134.3468017578,57.2303123474,299.244720459,1349.9553222656,82.8499984741,88.6614608765,12.1999998093,23.75,436.3746643066,36.9300842285,152.792098999,1293.1857910156,10101.51171875,457.3268127441,1178.7791748047,14.6499996185,43.7999992371,8.9499998093,35.75,111.0847167969,106.4348068237
287.6669921875,83.6721038818,52.2000007629,115.8099594116,433.6784057617,139.5,643.7529907227,584.1903076172,267.9183654785,46.6831665039,8,133.7716674805,57.5101661682,311.7668762207,1346.2850341797,81.3499984741,89.3780136108,12.9499998093,23.5,436.9018249512,36.3898849487,152.5930938721,1336.2622070313,10012.1865234375,459.3622436523,1182.3671875,14.5500001907,46.5,8.5500001907,36.2999992371,113.1125335693,107.6232223511
292.6728820801,83.3249130249,52.0999984741,121.0337295532,450.1459655762,136.8500061035,647.7854614258,584.1903076172,266.6528625488,49.6499481201,7.8499999046,137.0533599854,58.116519928,314.6375732422,1340.6309814453,84.9499969482,89.234703064,13.75,24.2999992371,432.9243469238,39.1891059875,155.9265441895,1352.5775146484,9998.490234375,461.8941345215,1187.0700683594,15.6000003815,44.6500015259,8.1499996185,34.9500007629,115.6843948364,110.8081970215
284.4453430176,82.8785324097,52.5999984741,124.4833908081,445.3141784668,131.75,642.3590698242,586.6519775391,262.5750427246,49.1700248718,7.9000000954,138.7449645996,59.0027236938,327.4071655273,1339.3413085938,86.8499984741,87.8015975952,14.3999996185,23.7999992371,424.8255615234,39.0908851624,156.3245849609,1421.4698486328,10047.1767578125,469.3904724121,1182.8520507813,15.8999996185,46,7.9000000954,39.2000007629,116.9208679199,109.6673126221
256.8880004883,82.6305465698,53.7000007629,140.844619751,456.5061950684,132.6499938965,652.6643066406,582.7625732422,262.3406982422,48.9082489014,7.6999998093,139.556930542,57.7900238037,337.4545898438,1314.5920410156,83.5,90.4767227173,14.1499996185,23.2000007629,418.4519958496,37.2247428894,156.0260620117,1538.4127197266,10035.9296875,480.0640869141,1163.7003173828,16.3500003815,46,7.5500001907,39.7000007629,117.6132965088,108.3362808228
249.5030212402,80.3490219116,51.4500007629,122.1671829224,452.9562988281,133.5,646.2919921875,572.1284179688,261.1220092773,48.8209953308,7.5500001907,138.1021575928,57.4168815613,337.2071228027,1351.8400878906,84.25,91.0021972656,14.25,22.6499996185,415.6725463867,37.1265220642,147.5182647705,1531.9461669922,9921.9111328125,489.0497436523,1170.2458496094,16.1000003815,51,7.1999998093,40.75,119.0475997925,110.2377471924
258.0775146484,79.6050491333,53.4500007629,123.744178772,458.4783630371,126.8499984741,637.2313232422,568.8298339844,258.4971923828,48.602848053,7.5500001907,137.3240203857,57.1370277405,337.2071228027,1327.9833984375,83.8499984741,89.3302383423,13.75,23.0499992371,405.3214416504,37.9122657776,137.7666320801,1515.1335449219,9928.8583984375,476.7875366211,1138.8272705078,15.8500003815,51.5499992371,7,41.3499984741,116.9208679199,110.9507980347
273.9874267578,81.4401855469,54.25,124.9269180298,472.3821105957,172.4499969482,664.8115234375,602.40625,262.668762207,50.0862388611,7.6500000954,136.0384063721,59.7490081787,339.9293212891,1349.7072753906,84.3000030518,89.3302383423,13.75,24.3999996185,415.337097168,38.5506896973,138.4134216309,1571.4909667969,10004.388671875,480.9080505371,1141.3968505859,16,50.2999992371,7.6500000954,41.0499992371,118.6519241333,112.8522644043
285.9322509766,81.390586853,57.0999984741,126.9474334717,487.9621582031,171.8999938965,663.1687011719,607.0833740234,262.0594177246,51.1769638062,7.5,135.2941131592,59.7490081787,337.6525878906,1354.220703125,83.5500030518,87.4194412231,13.5500001907,24,408.1488342285,38.8453407288,141.4981231689,1555.9217529297,9998.640625,473.1634521484,1129.7603759766,15.8999996185,49.7999992371,7.8499999046,42.2000007629,120.0862426758,113.4702453613
