STATE BANK OF INDIA,Hindustan Aeronautics Ltd,PANACEA BIOTEC LTD.,HINDUSTAN COPPER LTD.,HAVELLS INDIA LTD.,ITC LTD.,BAYER CROPSCIENCE LTD.,BHARAT ELECTRONICS LTD.,BHARAT HEAVY ELECTRICALS LTD.,GREAT EASTERN SHIPPING CO.LTD.,Tata Consumer Products Ltd,MARUTI SUZUKI INDIA LTD.,COAL INDIA LTD.,MRF LTD.,ENGINEERS INDIA LTD.,INFOSYS LTD.,ORACLE FINANCIAL SERVICES SOFTWARE LTD.,Quick Heal Technologies Ltd,STEEL AUTHORITY OF INDIA LTD.,BAJAJ ELECTRICALS LTD.-$,Zee Media Corporation Limited,ATUL AUTO LTD.-$,HINDUSTAN MOTORS LTD.,RUCHI SOYA INDUSTRIES LTD.,BANCO PRODUCTS (INDIA) LTD.-$,JAY SHREE TEA & INDUSTRIES LTD.,IFB AGRO INDUSTRIES LTD.,HINDUJA GLOBAL SOLUTIONS LTD.,ANDHRA CEMENTS LTD.,TILAKNAGAR INDUSTRIES LTD.-$
182.2,767.75,193.15,33.85,658.7,170.8,5998.35,93.3,30.1,243.0,509.65,6496.15,117.1,57477.2,64.9,1011.05,2991.0,148.55,34.35,493.95,5.49,166.25,5.15,445.85,87.3,58.4,326.7,701.1,4.77,16.65
187.3,778.25,196.75,34.2,684.55,173.35,5944.9,97.45,31.8,242.9,517.5,6707.0,120.05,59279.9,64.65,1009.5,3030.1,162.1,35.7,487.35,5.37,169.95,5.4,468.1,88.8,60.5,326.5,714.95,4.99,16.8
185.0,783.05,194.15,33.8,666.05,169.35,5868.95,96.0,30.25,239.4,503.1,6738.6,117.65,59466.35,64.6,1010.25,3082.8,162.15,35.55,485.0,5.6,169.35,5.59,491.5,87.5,60.0,329.95,707.65,5.07,16.75
185.4,806.4,184.45,33.25,677.7,171.75,5888.85,95.75,29.3,235.15,499.75,6742.85,116.0,59563.9,64.4,1008.0,3075.0,158.0,33.75,502.55,5.35,169.8,5.48,516.05,89.85,58.9,332.9,691.55,4.85,16.2
190.35,798.95,192.55,33.3,666.1,170.85,5829.5,96.15,29.55,237.3,508.85,6794.05,117.2,60570.15,64.6,1017.7,3043.35,160.15,34.2,494.45,5.26,168.6,5.25,541.85,89.7,59.7,326.35,699.1,4.84,16.1
188.75,820.4,189.55,33.2,669.2,169.3,5802.0,96.15,29.5,236.4,503.35,6816.85,118.4,60498.7,64.6,1048.2,3025.35,171.0,35.1,490.5,5.13,172.75,5.2,568.9,90.35,58.8,331.75,710.75,4.78,16.7
191.6,820.9,196.8,33.55,687.7,169.95,5773.35,95.8,29.35,237.2,505.6,6890.4,116.75,60263.85,63.8,1055.75,3031.8,171.4,34.35,497.35,5.19,175.85,5.2,597.3,91.4,58.5,342.85,720.05,4.75,16.2
190.65,809.9,191.55,33.15,680.65,169.5,5756.7,94.1,28.4,235.15,505.0,7047.75,114.4,60581.4,63.95,1066.55,3009.2,168.0,33.5,493.85,5.1,172.95,5.1,627.15,91.2,58.45,350.05,713.85,4.7,16.05
191.5,798.65,186.85,32.9,687.0,167.2,5749.15,93.55,29.25,231.25,488.4,7082.45,113.3,60207.9,62.9,1094.0,3055.75,168.9,33.85,509.7,5.02,171.45,5.05,595.8,90.25,58.45,347.45,723.35,4.64,17.25
198.25,785.15,188.5,32.95,710.05,167.85,5713.6,92.7,29.1,227.85,471.5,7061.65,114.9,58769.6,63.25,1107.55,3070.7,167.1,33.95,520.75,5.05,171.25,5.0,566.05,92.1,57.9,343.0,722.35,4.63,17.3
